//Cycle,Period,Length
SC,1,60
SC,2,60
SC,3,60
SC,4,60
SC,5,60
SC,6,60
SC,7,60
SC,8,60
SC,9,60
SC,10,60
SC,11,60
SC,12,60
SC,13,60
SC,14,60
SC,15,60
SC,16,60
SC,17,60
SC,18,60
SC,19,60
SC,20,60
SC,21,60
SC,22,60
SC,23,60
SC,24,60
SC,25,60
SC,26,60
SC,27,60
SC,28,60
SC,29,60
SC,30,60
SC,31,360
SC,32,360
SC,33,360
SC,34,720
SC,35,720
SC,36,720
SC,37,720
SC,38,720
SC,39,720
SC,40,720
SC,41,720
SC,42,720
SC,43,720
WA,1,60
WA,2,60
WA,3,60
WA,4,60
WA,5,60
WA,6,60
WA,7,60
WA,8,60
WA,9,60
WA,10,60
WA,11,60
WA,12,60
WA,13,60
WA,14,60
WA,15,60
WA,16,60
WA,17,60
WA,18,60
WA,19,60
WA,20,60
WA,21,60
WA,22,60
WA,23,60
WA,24,60
WA,25,60
WA,26,60
WA,27,60
WA,28,60
WA,29,60
WA,30,60
WA,31,360
WA,32,360
WA,33,360
WA,34,720
WA,35,720
WA,36,720
WA,37,720
WA,38,720
WA,39,720
WA,40,720
WA,41,720
WA,42,720
WA,43,720
DA,1,60
DA,2,60
DA,3,60
DA,4,60
DA,5,60
DA,6,60
DA,7,60
DA,8,60
DA,9,60
DA,10,60
DA,11,60
DA,12,60
DA,13,60
DA,14,60
DA,15,60
DA,16,60
DA,17,60
DA,18,60
DA,19,60
DA,20,60
DA,21,60
DA,22,60
DA,23,60
DA,24,60
DA,25,60
DA,26,60
DA,27,60
DA,28,60
DA,29,60
DA,30,60
DA,31,360
DA,32,360
DA,33,360
4HA,1,60
4HA,2,60
4HA,3,60
4HA,4,60
4HA,5,60
4HA,6,60
4HA,7,60
4HA,8,60
4HA,9,240
4HA,10,240
HA,1,15
HA,2,15
HA,3,15
HA,4,15
HA,5,15
HA,6,15
HA,7,15
HA,8,15
HA,9,60
HA,10,60
RT,1,5
RT,2,5
RT,3,5
RT,4,5
RT,5,5
RT,6,5
RT,7,5
RT,8,5
RT,9,5
RT,10,5
RT,11,5
RT,12,5
//EOF,,
