//ReserveType,Group,MaxReserve,ReduceRamp,Cost
Reg_Up,RTPV,-1.000,0,0.000
Reg_Up,U50 Hydro,-1.000,0,0.000
Reg_Up,EV,-1.000,0,0.000
Reg_Down,RTPV,-1.000,0,0.000
Reg_Down,U50 Hydro,-1.000,0,0.000
Reg_Down,EV,-1.000,0,0.000
Spin_Up,RTPV,-1.000,0,0.000
Spin_Up,U50 Hydro,-1.000,0,0.000
Spin_Up,EV,-1.000,0,0.000
Flex_Up,RTPV,-1.000,0,0.000
Flex_Up,U50 Hydro,-1.000,0,0.000
Flex_Up,EV,-1.000,0,0.000
Flex_Down,RTPV,-1.000,0,0.000
Flex_Down,U50 Hydro,-1.000,0,0.000
Flex_Down,EV,-1.000,0,0.000
Flex_RT,RTPV,-1.000,0,0.000
Flex_RT,U50 Hydro,-1.000,0,0.000
Flex_RT,EV,-1.000,0,0.000
//EOF
